Orthogroup,accession,protein_id,product,record_id,locus_tag,seq_type,oriC_strand,SCOG_location,label
OG0002110,GCF_000009765.2,WP_010984102.1,pantetheine-phosphate adenylyltransferase,NC_003155.5,SAVERM_RS13895,chromosome,positive,36.24565791024826,OG0002110: pantetheine-phosphate adenylyltransferase[60]
OG0002111,GCF_000009765.2,WP_010984156.1,proline dehydrogenase family protein,NC_003155.5,SAVERM_RS14195,chromosome,positive,37.02058631396356,OG0002111: proline dehydrogenase family protein[59] | proline dehydrogenase[1]
OG0002115,GCF_000009765.2,WP_010984306.1,"cob(I)yrinic acid a,c-diamide adenosyltransferase",NC_003155.5,SAVERM_RS14935,chromosome,positive,38.9973395698107,"OG0002115: cob(I)yrinic acid a,c-diamide adenosyltransferase[60]"
OG0002116,GCF_000009765.2,WP_010984312.1,F0F1 ATP synthase subunit epsilon,NC_003155.5,SAVERM_RS14965,chromosome,positive,39.06062616501847,OG0002116: F0F1 ATP synthase subunit epsilon[60]
OG0002118,GCF_000009765.2,WP_010984316.1,F0F1 ATP synthase subunit delta,NC_003155.5,SAVERM_RS14985,chromosome,positive,39.111359589293045,OG0002118: F0F1 ATP synthase subunit delta[60]
OG0002119,GCF_000009765.2,WP_010984344.1,peptide chain release factor 1,NC_003155.5,SAVERM_RS15125,chromosome,positive,40.364804232579125,OG0002119: peptide chain release factor 1[60]
OG0002120,GCF_000009765.2,WP_010984345.1,50S ribosomal protein L31,NC_003155.5,SAVERM_RS15130,chromosome,positive,40.37866479465982,OG0002120: 50S ribosomal protein L31[60]
OG0002121,GCF_000009765.2,WP_010984349.1,threonine synthase,NC_003155.5,SAVERM_RS41630,chromosome,positive,40.44131985346583,OG0002121: hreonine synthase[60]
OG0002122,GCF_000009765.2,WP_010984463.1,peptide deformylase,NC_003155.5,SAVERM_RS15750,chromosome,positive,42.00880428221567,OG0002122: peptide deformylase[60]
OG0002125,GCF_000009765.2,WP_010984503.1,mycoredoxin,NC_003155.5,SAVERM_RS15955,chromosome,positive,42.49758021841853,OG0002125: mycoredoxin[53] | NrdH-redoxin[7]
OG0002128,GCF_000009765.2,WP_010984548.1,O-methyltransferase,NC_003155.5,SAVERM_RS16170,chromosome,positive,43.12533848135217,OG0002128: O-methyltransferase[37] | class I SAM-dependent methyltransferase[23]
OG0002129,GCF_000009765.2,WP_010984555.1,succinyl-diaminopimelate desuccinylase,NC_003155.5,SAVERM_RS16200,chromosome,positive,43.18069209298697,OG0002129: succinyl-diaminopimelate desuccinylase[60]
OG0002130,GCF_000009765.2,WP_010984646.1,WhiB family transcriptional regulator,NC_003155.5,SAVERM_RS16655,chromosome,positive,44.39889257322055,OG0002130: WhiB family transcriptional regulator[60]
OG0002132,GCF_000009765.2,WP_010984796.1,cytidine deaminase,NC_003155.5,SAVERM_RS17410,chromosome,positive,46.33236896616826,OG0002132: cytidine deaminase[60]
OG0002134,GCF_000009765.2,WP_010984827.1,succinate dehydrogenase hydrophobic membrane anchor subunit,NC_003155.5,SAVERM_RS17570,chromosome,positive,46.7313559374615,OG0002134: succinate dehydrogenase hydrophobic membrane anchor subunit[60]
OG0002135,GCF_000009765.2,WP_010984848.1,tryptophan--tRNA ligase,NC_003155.5,SAVERM_RS17680,chromosome,positive,46.96154541610937,OG0002135: yptophan--tRNA ligase[60]
OG0002136,GCF_000009765.2,WP_010984867.1,malate dehydrogenase,NC_003155.5,SAVERM_RS17775,chromosome,positive,47.193563026446526,OG0002136: malate dehydrogenase[60]
OG0002139,GCF_000009765.2,WP_010985278.1,hypothetical protein,NC_003155.5,SAVERM_RS19875,chromosome,positive,52.64765542664826,OG0002139: hypothetical protein[60]
OG0002144,GCF_000009765.2,WP_010985456.1,D-tyrosyl-tRNA(Tyr) deacylase,NC_003155.5,SAVERM_RS20755,chromosome,positive,54.82922590921299,OG0002144: D-tyrosyl-tRNA(Tyr) deacylase[59] | D-aminoacyl-tRNA deacylase[1]
OG0002145,GCF_000009765.2,WP_010985457.1,folate-binding protein YgfZ,NC_003155.5,SAVERM_RS20760,chromosome,positive,54.83462166759292,OG0002145: folate-binding protein YgfZ[56] | folate-binding protein[3] | glycine cleavage T C-terminal barrel domain-containing protein[1]
OG0002146,GCF_000009765.2,WP_010985459.1,FABP family protein,NC_003155.5,SAVERM_RS20770,chromosome,positive,54.8511302507266,OG0002146: FABP family protein[60]
OG0002147,GCF_000009765.2,WP_010985504.1,phosphate ABC transporter ATP-binding protein,NC_003155.5,SAVERM_RS20995,chromosome,positive,55.345324104481385,OG0002147: phosphate ABC transporter ATP-binding protein[58] | phosphate ABC transporter ATP-binding protein PstB[2]
OG0002150,GCF_000009765.2,WP_010985559.1,hypothetical protein,NC_003155.5,SAVERM_RS21335,chromosome,positive,56.17238196030672,OG0002150: hypothetical protein[60]
OG0002152,GCF_000009765.2,WP_010985605.1,uracil phosphoribosyltransferase,NC_003155.5,SAVERM_RS21590,chromosome,positive,56.80365245200102,OG0002152: acil phosphoribosyltransferase[60]
OG0002153,GCF_000009765.2,WP_010985606.1,hypothetical protein,NC_003155.5,SAVERM_RS21600,chromosome,positive,56.81886472357319,OG0002153: hypothetical protein[59] | tRNA adenosine deaminase-associated protein[1]
OG0002154,GCF_000009765.2,WP_010985653.1,SEC-C domain-containing protein,NC_003155.5,SAVERM_RS21855,chromosome,positive,57.40699130740001,OG0002154: SEC-C domain-containing protein[58] | DUF5926 family protein[1] | topoisomerase II[1]
OG0002155,GCF_000009765.2,WP_010985674.1,ABC transporter permease subunit,NC_003155.5,SAVERM_RS21965,chromosome,positive,57.69882760252828,OG0002155: ABC transporter permease[38] | ABC transporter permease subunit[22]
OG0002156,GCF_000009765.2,WP_010985715.1,hypothetical protein,NC_003155.5,SAVERM_RS22180,chromosome,positive,58.2289414740813,OG0002156: hypothetical protein[60]
OG0002161,GCF_000009765.2,WP_010985814.1,M18 family aminopeptidase,NC_003155.5,SAVERM_RS22685,chromosome,positive,59.48009264306626,OG0002161: M18 family aminopeptidase[60]
OG0002162,GCF_000009765.2,WP_010985816.1,SseB family protein,NC_003155.5,SAVERM_RS22695,chromosome,positive,59.51801806592974,OG0002162: SseB family protein[60]
OG0002163,GCF_000009765.2,WP_010985911.1,molecular chaperone DnaJ,NC_003155.5,SAVERM_RS23170,chromosome,positive,60.73408018606614,OG0002163: molecular chaperone DnaJ[60]
OG0002164,GCF_000009765.2,WP_010985912.1,helix-turn-helix domain-containing protein,NC_003155.5,SAVERM_RS23175,chromosome,positive,60.74732029133106,OG0002164: helix-turn-helix domain-containing protein[39] | MerR family transcriptional regulator[16] | helix-turn-helix transcriptional regulator[5]
OG0002166,GCF_000009765.2,WP_010985982.1,DUF5063 domain-containing protein,NC_003155.5,SAVERM_RS23550,chromosome,positive,61.668864856528224,OG0002166: DUF5063 domain-containing protein[60]
OG0002167,GCF_000009765.2,WP_010986011.1,DUF4177 domain-containing protein,NC_003155.5,SAVERM_RS41825,chromosome,positive,62.0750757178907,OG0002167: DUF4177 domain-containing protein[57] | hypothetical protein[3]
OG0002168,GCF_000009765.2,WP_010986019.1,MarP family serine protease,NC_003155.5,SAVERM_RS23735,chromosome,positive,62.14647257004736,OG0002168: MarP family serine protease[60]
OG0002169,GCF_000009765.2,WP_010986021.1,phage holin family protein,NC_003155.5,SAVERM_RS23745,chromosome,positive,62.17412721669277,OG0002169: phage holin family protein[60]
OG0002170,GCF_000009765.2,WP_010986039.1,ATP-binding protein,NC_003155.5,SAVERM_RS23825,chromosome,positive,62.40098173995591,OG0002170: ATP-binding protein[60]
OG0002171,GCF_000009765.2,WP_010986089.1,hypoxanthine phosphoribosyltransferase,NC_003155.5,SAVERM_RS24085,chromosome,positive,63.04445085583154,OG0002171: hypoxanthine phosphoribosyltransferase[60]
OG0002172,GCF_000009765.2,WP_010986092.1,DUF3180 domain-containing protein,NC_003155.5,SAVERM_RS24100,chromosome,positive,63.08413793286834,OG0002172: DUF3180 domain-containing protein[51] | DUF3180 family protein[9]
OG0002173,GCF_000009765.2,WP_010986093.1,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase,NC_003155.5,SAVERM_RS24105,chromosome,positive,63.09014306847805,OG0002173: 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase[60]
OG0002174,GCF_000009765.2,WP_010986094.1,dihydroneopterin aldolase,NC_003155.5,SAVERM_RS24110,chromosome,positive,63.09687945676347,OG0002174: dihydroneopterin aldolase[60]
OG0002176,GCF_000009765.2,WP_010986137.1,Ppx/GppA family phosphatase,NC_003155.5,SAVERM_RS24325,chromosome,positive,63.6392805891858,OG0002176: Ppx/GppA family phosphatase[59] | Ppx/GppA phosphatase family protein[1]
OG0002180,GCF_000009765.2,WP_010986266.1,NADH-quinone oxidoreductase subunit NuoI,NC_003155.5,SAVERM_RS25000,chromosome,positive,65.252811777334,OG0002180: NADH-quinone oxidoreductase subunit NuoI[60]
OG0002181,GCF_000009765.2,WP_010986269.1,NADH-quinone oxidoreductase subunit M,NC_003155.5,SAVERM_RS25020,chromosome,positive,65.29337414166447,OG0002181: NADH-quinone oxidoreductase subunit M[60]
OG0002184,GCF_000009765.2,WP_010986316.1,YajQ family cyclic di-GMP-binding protein,NC_003155.5,SAVERM_RS25260,chromosome,positive,65.9175204595635,OG0002184: YajQ family cyclic di-GMP-binding protein[60]
OG0002185,GCF_000009765.2,WP_010986329.1,50S ribosomal protein L11,NC_003155.5,SAVERM_RS25350,chromosome,positive,66.10202880515085,OG0002185: 50S ribosomal protein L11[60]
OG0002186,GCF_000009765.2,WP_010986331.1,50S ribosomal protein L10,NC_003155.5,SAVERM_RS25360,chromosome,positive,66.12275871054892,OG0002186: 50S ribosomal protein L10[60]
OG0002188,GCF_000009765.2,WP_010986342.1,50S ribosomal protein L3,NC_003155.5,SAVERM_RS25425,chromosome,positive,66.33861120491827,OG0002188: 50S ribosomal protein L3[60]
OG0002189,GCF_000009765.2,WP_010986343.1,50S ribosomal protein L4,NC_003155.5,SAVERM_RS25430,chromosome,positive,66.34581293581552,OG0002189: 50S ribosomal protein L4[60]
OG0002190,GCF_000009765.2,WP_010986344.1,50S ribosomal protein L23,NC_003155.5,SAVERM_RS25435,chromosome,positive,66.35318086050269,OG0002190: 50S ribosomal protein L23[60]
OG0002191,GCF_000009765.2,WP_010986346.1,30S ribosomal protein S19,NC_003155.5,SAVERM_RS25445,chromosome,positive,66.36763972022716,OG0002191: 30S ribosomal protein S19[60]
OG0002192,GCF_000009765.2,WP_010986347.1,30S ribosomal protein S3,NC_003155.5,SAVERM_RS25455,chromosome,positive,66.3750741224303,OG0002192: 30S ribosomal protein S3[60]
OG0002193,GCF_000009765.2,WP_010986348.1,50S ribosomal protein L16,NC_003155.5,SAVERM_RS25460,chromosome,positive,66.38431449715077,OG0002193: 50S ribosomal protein L16[60]
OG0002194,GCF_000009765.2,WP_010986349.1,30S ribosomal protein S17,NC_003155.5,SAVERM_RS25470,chromosome,positive,66.39143867094604,OG0002194: 30S ribosomal protein S17[60]
OG0002195,GCF_000009765.2,WP_010986350.1,50S ribosomal protein L24,NC_003155.5,SAVERM_RS25480,chromosome,positive,66.39984807671682,OG0002195: 50S ribosomal protein L24[60]
OG0002196,GCF_000009765.2,WP_010986351.1,50S ribosomal protein L5,NC_003155.5,SAVERM_RS25485,chromosome,positive,66.40342678299345,OG0002196: 50S ribosomal protein L5[60]
OG0002197,GCF_000009765.2,WP_010986352.1,30S ribosomal protein S8,NC_003155.5,SAVERM_RS25495,chromosome,positive,66.41406318554938,OG0002197: 30S ribosomal protein S8[60]
OG0002198,GCF_000009765.2,WP_010986353.1,50S ribosomal protein L6,NC_003155.5,SAVERM_RS25500,chromosome,positive,66.41874985042558,OG0002198: 50S ribosomal protein L6[60]
OG0002199,GCF_000009765.2,WP_010986354.1,50S ribosomal protein L18,NC_003155.5,SAVERM_RS25505,chromosome,positive,66.42476606562128,OG0002199: 50S ribosomal protein L18[60]
OG0002200,GCF_000009765.2,WP_010986355.1,50S ribosomal protein L15,NC_003155.5,SAVERM_RS25520,chromosome,positive,66.43826100136413,OG0002200: 50S ribosomal protein L15[60]
OG0002201,GCF_000009765.2,WP_010986359.1,30S ribosomal protein S13,NC_003155.5,SAVERM_RS25550,chromosome,positive,66.48731032856733,OG0002201: 30S ribosomal protein S13[60]
OG0002202,GCF_000009765.2,WP_010986360.1,50S ribosomal protein L17,NC_003155.5,SAVERM_RS25565,chromosome,positive,66.51200672575189,OG0002202: 50S ribosomal protein L17[60]
OG0002203,GCF_000009765.2,WP_010986398.1,chaperonin GroEL,NC_003155.5,SAVERM_RS25750,chromosome,positive,66.93111422521342,OG0002203: chaperonin GroEL[60]
OG0002205,GCF_000009765.2,WP_010986405.1,IMP dehydrogenase,NC_003155.5,SAVERM_RS25790,chromosome,positive,67.01668186785865,OG0002205: IMP dehydrogenase[60]
OG0002206,GCF_000009765.2,WP_010986427.1,5-(carboxyamino)imidazole ribonucleotide mutase,NC_003155.5,SAVERM_RS25900,chromosome,positive,67.36176665328253,OG0002206: 5-(carboxyamino)imidazole ribonucleotide mutase[60]
OG0002210,GCF_000009765.2,WP_010986510.1,permease-like cell division protein FtsX,NC_003155.5,SAVERM_RS26335,chromosome,positive,68.69240277220105,OG0002210: ABC transporter permease[36] | permease-like cell division protein FtsX[22] | FtsX-like permease family protein[2]
OG0002211,GCF_000009765.2,WP_010986512.1,SsrA-binding protein SmpB,NC_003155.5,SAVERM_RS26345,chromosome,positive,68.71692189600967,OG0002211: SsrA-binding protein SmpB[60]
OG0002213,GCF_000009765.2,WP_010986562.1,nicotinate phosphoribosyltransferase,NC_003155.5,SAVERM_RS26620,chromosome,positive,69.42219294256964,OG0002213: icotinate phosphoribosyltransferase[60]
OG0002214,GCF_000009765.2,WP_010986566.1,M67 family metallopeptidase,NC_003155.5,SAVERM_RS26640,chromosome,positive,69.46997919696933,OG0002214: M67 family metallopeptidase[53] | Mov34/MPN/PAD-1 family protein[7]
OG0002215,GCF_000009765.2,WP_010986570.1,MBL fold metallo-hydrolase,NC_003155.5,SAVERM_RS26660,chromosome,positive,69.502165394287,OG0002215: MBL fold metallo-hydrolase[60]
OG0002216,GCF_000009765.2,WP_010986574.1,ribonuclease PH,NC_003155.5,SAVERM_RS26680,chromosome,positive,69.54806811906744,OG0002216: ibonuclease PH[60]
OG0002217,GCF_000009765.2,WP_010986582.1,co-chaperone GroES,NC_003155.5,SAVERM_RS26725,chromosome,positive,69.6221019126911,OG0002217: co-chaperone GroES[60]
OG0002221,GCF_000009765.2,WP_010986880.1,nicotinate-nucleotide adenylyltransferase,NC_003155.5,SAVERM_RS28275,chromosome,positive,73.67892556379581,OG0002221: icotinate-nucleotide adenylyltransferase[60]
OG0002222,GCF_000009765.2,WP_010986985.1,PhoH family protein,NC_003155.5,SAVERM_RS28810,chromosome,positive,74.85962164543375,OG0002222: PhoH family protein[60]
OG0002223,GCF_000009765.2,WP_010986986.1,rRNA maturation RNase YbeY,NC_003155.5,SAVERM_RS28815,chromosome,positive,74.87177595127109,OG0002223: RNA maturation RNase YbeY[60]
OG0002225,GCF_000009765.2,WP_010987051.1,tRNA dihydrouridine synthase DusB,NC_003155.5,SAVERM_RS29145,chromosome,positive,75.6652072635993,OG0002225: RNA dihydrouridine synthase DusB[60]
OG0002226,GCF_000009765.2,WP_010987086.1,hypothetical protein,NC_003155.5,SAVERM_RS29315,chromosome,positive,76.17332815695076,OG0002226: hypothetical protein[34] | YtxH domain-containing protein[26]
OG0002227,GCF_000009765.2,WP_010987186.1,DUF3145 domain-containing protein,NC_003155.5,SAVERM_RS29825,chromosome,positive,77.44181887801908,OG0002227: DUF3145 domain-containing protein[56] | DUF3145 family protein[4]
OG0002229,GCF_000009765.2,WP_010987324.1,bifunctional DNA primase/polymerase,NC_003155.5,SAVERM_RS30535,chromosome,positive,79.04912333883767,OG0002229: bifunctional DNA primase/polymerase[60]
OG0002231,GCF_000009765.2,WP_010987436.1,DUF3043 domain-containing protein,NC_003155.5,SAVERM_RS31095,chromosome,positive,80.50191189335943,OG0002231: DUF3043 domain-containing protein[60]
OG0002232,GCF_000009765.2,WP_010987529.1,YggT family protein,NC_003155.5,SAVERM_RS31560,chromosome,positive,81.65157405462324,OG0002232: YggT family protein[60]
OG0002236,GCF_000009765.2,WP_010987548.1,ABC transporter permease,NC_003155.5,SAVERM_RS31655,chromosome,positive,81.92888501251107,OG0002236: ABC transporter permease[60]
OG0002238,GCF_000009765.2,WP_010987556.1,imidazoleglycerol-phosphate dehydratase HisB,NC_003155.5,SAVERM_RS31695,chromosome,positive,82.02374842780675,OG0002238: imidazoleglycerol-phosphate dehydratase HisB[60]
OG0002239,GCF_000009765.2,WP_010987559.1,bifunctional 1-(5-phosphoribosyl)-5-((5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase/phosphoribosylanthranilate isomerase PriA,NC_003155.5,SAVERM_RS31705,chromosome,positive,82.03917121151284,OG0002239: bifunctional 1-(5-phosphoribosyl)-5-((5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase/phosphoribosylanthranilate isomerase PriA[60]
OG0002240,GCF_000009765.2,WP_010987635.1,PAC2 family protein,NC_003155.5,SAVERM_RS32085,chromosome,positive,83.03848339081422,OG0002240: PAC2 family protein[60]
OG0002242,GCF_000009765.2,WP_010987731.1,metal-sulfur cluster assembly factor,NC_003155.5,SAVERM_RS32565,chromosome,positive,84.18206285936637,OG0002242: metal-sulfur cluster assembly factor[59] | DUF59 domain-containing protein[1]
OG0002243,GCF_000009765.2,WP_010987828.1,enoyl-CoA hydratase/isomerase family protein,NC_003155.5,SAVERM_RS33050,chromosome,positive,85.39849060584062,OG0002243: yl-CoA hydratase/isomerase family protein[60]
OG0002246,GCF_000009765.2,WP_010987911.1,SMC-Scp complex subunit ScpB,NC_003155.5,SAVERM_RS33480,chromosome,positive,86.42686453920888,OG0002246: SMC-Scp complex subunit ScpB[60]
OG0002247,GCF_000009765.2,WP_010987944.1,cell division protein SepF,NC_003155.5,SAVERM_RS33635,chromosome,positive,86.78607579677735,OG0002247: cell division protein SepF[60]
OG0002250,GCF_000009765.2,WP_010988079.1,ubiquitin-like protein Pup,NC_003155.5,SAVERM_RS34320,chromosome,positive,88.54911491835232,OG0002250: biquitin-like protein Pup[60]
OG0002251,GCF_000009765.2,WP_010988085.1,Pup--protein ligase,NC_003155.5,SAVERM_RS34345,chromosome,positive,88.60379267524138,OG0002251: Pup--protein ligase[60]
OG0002252,GCF_000009765.2,WP_010988088.1,WYL domain-containing protein,NC_003155.5,SAVERM_RS34360,chromosome,positive,88.63881524657397,OG0002252: WYL domain-containing protein[60]
OG0002253,GCF_000009765.2,WP_010988136.1,hypothetical protein,NC_003155.5,SAVERM_RS34595,chromosome,positive,89.22931286180388,OG0002253: hypothetical protein[38] | DUF1844 domain-containing protein[22]
OG0002255,GCF_000009765.2,WP_010988196.1,RNA methyltransferase,NC_003155.5,SAVERM_RS34900,chromosome,positive,89.9360242545433,OG0002255: RNA methyltransferase[58] | rRNA methyltransferase[2]
OG0002257,GCF_000009765.2,WP_010988236.1,protein translocase subunit SecF,NC_003155.5,SAVERM_RS35145,chromosome,positive,90.42708258546128,OG0002257: protein translocase subunit SecF[60]
OG0002259,GCF_000009765.2,WP_010988303.1,"6,7-dimethyl-8-ribityllumazine synthase",NC_003155.5,SAVERM_RS35480,chromosome,positive,91.28515220248876,"OG0002259: 6,7-dimethyl-8-ribityllumazine synthase[60]"
OG0002260,GCF_000009765.2,WP_010988304.1,phosphoribosyl-ATP diphosphatase,NC_003155.5,SAVERM_RS35485,chromosome,positive,91.29091358720652,OG0002260: phosphoribosyl-ATP diphosphatase[60]
OG0002261,GCF_000009765.2,WP_010988318.1,hypothetical protein,NC_003155.5,SAVERM_RS35550,chromosome,positive,91.47659636890944,OG0002261: hypothetical protein[60]
OG0002263,GCF_000009765.2,WP_010988406.1,uracil-DNA glycosylase,NC_003155.5,SAVERM_RS36025,chromosome,positive,92.74903142259224,OG0002263: acil-DNA glycosylase[60]
OG0002268,GCF_000009765.2,WP_037646353.1,DNA repair protein RecN,NC_003155.5,SAVERM_RS33420,chromosome,positive,86.2325286008433,OG0002268: DNA repair protein RecN[60]
OG0002270,GCF_000009765.2,WP_037646460.1,DEAD/DEAH box helicase,NC_003155.5,SAVERM_RS34395,chromosome,positive,88.69635153664994,OG0002270: DEAD/DEAH box helicase[60]
OG0002272,GCF_000009765.2,WP_037646600.1,Lrp/AsnC family transcriptional regulator,NC_003155.5,SAVERM_RS35555,chromosome,positive,91.48431884034848,OG0002272: Lrp/AsnC family transcriptional regulator[58] | AsnC family transcriptional regulator[2]
OG0002274,GCF_000009765.2,WP_037646939.1,dephospho-CoA kinase,NC_003155.5,SAVERM_RS32090,chromosome,positive,83.04949649929401,"OG0002274: dephospho-CoA kinase[55] | dephospho-CoA kinase, long form[5]"
OG0002277,GCF_000009765.2,WP_037647719.1,DUF2029 domain-containing protein,NC_003155.5,SAVERM_RS22195,chromosome,positive,58.26076204506112,OG0002277: DUF2029 domain-containing protein[59] | glycosyltransferase 87 family protein[1]
OG0002278,GCF_000009765.2,WP_037647936.1,DNA-directed RNA polymerase subunit beta,NC_003155.5,SAVERM_RS25370,chromosome,positive,66.14099570909794,OG0002278: DNA-directed RNA polymerase subunit beta[60]
OG0002279,GCF_000009765.2,WP_037648077.1,glutaredoxin family protein,NC_003155.5,SAVERM_RS24465,chromosome,positive,64.00053049057748,OG0002279: glutaredoxin family protein[60]
OG0002280,GCF_000009765.2,WP_037648928.1,peptide chain release factor N(5)-glutamine methyltransferase,NC_003155.5,SAVERM_RS15120,chromosome,positive,40.35452237677506,OG0002280: peptide chain release factor N(5)-glutamine methyltransferase[60]
OG0002281,GCF_000009765.2,WP_037648999.1,PAS domain-containing sensor histidine kinase,NC_003155.5,SAVERM_RS15670,chromosome,positive,41.79156683959685,OG0002281: PAS domain-containing sensor histidine kinase[50] | histidine kinase N-terminal domain-containing protein[9] | PAS domain-containing protein[1]
OG0002282,GCF_000009765.2,WP_037649730.1,hypothetical protein,NC_003155.5,SAVERM_RS13840,chromosome,positive,36.14947602421909,OG0002282: hypothetical protein[60]
OG0002284,GCF_000009765.2,WP_042492878.1,CDP-alcohol phosphatidyltransferase family protein,NC_003155.5,SAVERM_RS08780,chromosome,positive,22.490296498584915,OG0002284: DP-alcohol phosphatidyltransferase family protein[59] | transferase[1]
OG0002285,GCF_000009765.2,WP_042493107.1,endopeptidase La,NC_003155.5,SAVERM_RS15420,chromosome,positive,41.17852226686557,OG0002285: dopeptidase La[60]
OG0002286,GCF_000009765.2,WP_042494618.1,GuaB1 family IMP dehydrogenase-related protein,NC_003155.5,SAVERM_RS35380,chromosome,positive,91.02820552366111,OG0002286: GuaB1 family IMP dehydrogenase-related protein[60]
OG0002287,GCF_000009765.2,WP_062804698.1,hypothetical protein,NC_003155.5,SAVERM_RS30285,chromosome,positive,78.51108756329768,OG0002287: hypothetical protein[59] | C4-type zinc ribbon domain-containing protein[1]
OG0002290,GCF_000009765.2,WP_078234928.1,preprotein translocase subunit SecG,NC_003155.5,SAVERM_RS32405,chromosome,positive,83.79457649833674,OG0002290: preprotein translocase subunit SecG[60]
