ST,accession,organism,16S_copies,strain,assembly_status,status_tax,Type_Strain,pyani_group_ID,pyani_label,degree,pyani_genus_ID,pyani_species_ID
9,GCF_000717025.1,Streptomyces atroolivaceus,1,NRRL ISP-5137,Contig,correct name,No,40,GCF_000717025.1 | Streptomyces atroolivaceus NRRL ISP-5137 - ST 9,2,70,102
11,GCF_000725545.1,Streptomyces exfoliatus,1,NRRL B-2924,Scaffold,correct name,Yes,101,GCF_000725545.1 | Streptomyces exfoliatus NRRL B-2924 - ST 11,0,6,15
11,GCF_000718175.1,Streptomyces exfoliatus,1,NRRL B-2924,Contig,correct name,Yes,101,GCF_000718175.1 | Streptomyces exfoliatus NRRL B-2924 - ST 11,0,6,15
12,GCF_900105705.1,Streptomyces griseus,6,DSM 40236,Contig,correct name,Yes,1,GCF_900105705.1 | Streptomyces griseus DSM 40236 - ST 12,3,1,1
12,GCF_001723115.1,Streptomyces griseus,1,NRRL B-2165,Scaffold,correct name,No,1,GCF_001723115.1 | Streptomyces griseus NRRL B-2165 - ST 12,3,1,1
12,GCF_000010605.1,Streptomyces griseus,6,NBRC 13350,Complete Genome,correct name,No,1,GCF_000010605.1 | Streptomyces griseus NBRC 13350 - ST 12,3,1,1
12,GCF_900460065.1,Streptomyces griseus,4,NCTC13033,Contig,correct name,No,1,GCF_900460065.1 | Streptomyces griseus NCTC13033 - ST 12,3,1,1
12,GCF_009866455.1,Streptomyces griseus,1,CGMCC 4.18,Scaffold,correct name,No,1,GCF_009866455.1 | Streptomyces griseus CGMCC 4.18 - ST 12,3,1,1
16,GCF_008704495.1,Streptomyces kanamyceticus,3,ATCC 12853,Complete Genome,correct name,Yes,103,GCF_008704495.1 | Streptomyces kanamyceticus ATCC 12853 - ST 16,0,7,16
16,GCF_001418465.1,Streptomyces kanamyceticus,1,NRRL B-2535,Scaffold,correct name,Yes,103,GCF_001418465.1 | Streptomyces kanamyceticus NRRL B-2535 - ST 16,0,7,16
17,GCF_008639165.1,Streptomyces venezuelae,5,ATCC 10712,Complete Genome,correct name,Yes,20,GCF_008639165.1 | Streptomyces venezuelae ATCC 10712 - ST 17,3,41,61
17,GCF_001886595.1,Streptomyces venezuelae,4,NRRL B-65442,Complete Genome,correct name,No,20,GCF_001886595.1 | Streptomyces venezuelae NRRL B-65442 - ST 17,3,41,61
18,GCF_000720235.1,Streptomyces sp.,1,NRRL S-98,Contig,not validly described,No,10,GCF_000720235.1 | Streptomyces sp. NRRL S-98 - ST 18,3,4,12
18,GCF_000720455.1,Streptomyces virginiae,1,NRRL ISP-5094,Contig,correct name,Yes,10,GCF_000720455.1 | Streptomyces virginiae NRRL ISP-5094 - ST 18,3,4,12
18,GCF_000966965.1,Streptomyces sp.,1,NRRL S-104,Contig,not validly described,No,10,GCF_000966965.1 | Streptomyces sp. NRRL S-104 - ST 18,3,4,12
20,GCF_002154575.1,Streptomyces bobili,1,NRRL B-1338,Scaffold,correct name,Yes,57,GCF_002154575.1 | Streptomyces bobili NRRL B-1338 - ST 20,1,88,124
24,GCF_002154385.1,Streptomyces albovinaceus,1,NRRL B-2566,Scaffold,synonym,Yes,2,GCF_002154385.1 | Streptomyces albovinaceus NRRL B-2566 - ST 24,5,37,52
25,GCF_004028635.1,Streptomyces cyaneus,1,CGMCC 4.1671,Scaffold,correct name,No,104,GCF_004028635.1 | Streptomyces cyaneus CGMCC 4.1671 - ST 25,0,128,174
29,GCF_001700505.1,Streptomyces mutomycini,1,NRRL B-65393,Scaffold,correct name,No,42,GCF_001700505.1 | Streptomyces mutomycini NRRL B-65393 - ST 29,1,72,105
32,GCF_014650935.1,Streptomyces subrutilus,1,JCM 4834,Scaffold,correct name,Yes,106,GCF_014650935.1 | Streptomyces subrutilus JCM 4834 - ST 32,0,8,17
32,GCF_008704535.1,Streptomyces subrutilus,6,ATCC 27467,Complete Genome,correct name,Yes,106,GCF_008704535.1 | Streptomyces subrutilus ATCC 27467 - ST 32,0,8,17
38,GCF_000716935.1,Streptomyces alboviridis,1,NRRL B-1579,Contig,synonym,No,1,GCF_000716935.1 | Streptomyces alboviridis NRRL B-1579 - ST 38,1,1,5
39,GCF_000359525.1,Streptomyces albidoflavus,5,J1074,Complete Genome,correct name,No,3,GCF_000359525.1 | Streptomyces albidoflavus J1074 - ST 39,3,57,79
39,GCF_013693715.1,Streptomyces albidoflavus,4,J1074/R2,Complete Genome,correct name,No,3,GCF_013693715.1 | Streptomyces albidoflavus J1074/R2 - ST 39,3,57,79
45,GCF_014648615.1,Streptomyces nojiriensis,1,JCM 3382,Scaffold,correct name,Yes,9,GCF_014648615.1 | Streptomyces nojiriensis JCM 3382 - ST 45,4,117,162
45,GCF_016755855.1,Streptomyces nojiriensis,7,NBRC 13794,Contig,correct name,Yes,9,GCF_016755855.1 | Streptomyces nojiriensis NBRC 13794 - ST 45,4,117,162
45,GCF_017639205.1,Streptomyces nojiriensis,7,JCM 3382,Complete Genome,correct name,Yes,9,GCF_017639205.1 | Streptomyces nojiriensis JCM 3382 - ST 45,4,117,162
47,GCF_016755875.1,Streptomyces spororaveus,7,NBRC 15456,Contig,correct name,Yes,9,GCF_016755875.1 | Streptomyces spororaveus NBRC 15456 - ST 47,1,117,163
49,GCF_000717665.1,Streptomyces californicus,1,NRRL 2423,Contig,correct name,Yes,7,GCF_000717665.1 | Streptomyces californicus NRRL 2423 - ST 49,3,96,133
51,GCF_013409565.1,Streptomyces fulvorobeus,3,DSM 41455,Contig,correct name,Yes,1,GCF_013409565.1 | Streptomyces fulvorobeus DSM 41455 - ST 51,1,3,9
51,GCF_013167895.1,Streptomyces fulvorobeus,3,NBRC 15897,Contig,correct name,Yes,1,GCF_013167895.1 | Streptomyces fulvorobeus NBRC 15897 - ST 51,1,3,9
52,GCF_000720485.1,Streptomyces ochraceiscleroticus,1,NRRL ISP-5594,Contig,correct name,Yes,111,GCF_000720485.1 | Streptomyces ochraceiscleroticus NRRL ISP-5594 - ST 52,0,129,175
55,GCF_001723055.1,Streptomyces niveus,1,NRRL 2466,Scaffold,correct name,Yes,61,GCF_001723055.1 | Streptomyces niveus NRRL 2466 - ST 55,1,91,128
56,GCF_001553455.1,Streptomyces hygroscopicus,1,NBRC 13472,Contig,correct name,Yes,16,GCF_001553455.1 | Streptomyces hygroscopicus NBRC 13472 - ST 56,2,24,39
56,GCF_001553475.1,Streptomyces hygroscopicus,1,NBRC 12859,Contig,correct name,Yes,16,GCF_001553475.1 | Streptomyces hygroscopicus NBRC 12859 - ST 56,2,24,39
58,GCF_004125245.1,Streptomyces lydicus,7,ATCC 25470,Contig,correct name,Yes,22,GCF_004125245.1 | Streptomyces lydicus ATCC 25470 - ST 58,4,44,65
59,GCF_009811635.1,Streptomyces tubercidicus,7,NBRC 13090,Contig,correct name,Yes,8,GCF_009811635.1 | Streptomyces tubercidicus NBRC 13090 - ST 59,1,106,145
60,GCF_001294335.1,Streptomyces chattanoogensis,1,NRRL ISP-5002,Contig,correct name,Yes,22,GCF_001294335.1 | Streptomyces chattanoogensis NRRL ISP-5002 - ST 60,1,43,64
66,GCF_009811555.1,Streptomyces caniferus,7,NBRC 15389,Contig,correct name,Yes,113,GCF_009811555.1 | Streptomyces caniferus NBRC 15389 - ST 66,0,130,176
67,GCF_005405925.1,Streptomyces antimycoticus,1,NBRC 12839,Contig,correct name,Yes,5,GCF_005405925.1 | Streptomyces antimycoticus NBRC 12839 - ST 67,2,79,113
69,GCF_014648695.1,Streptomyces albospinus,1,JCM 3399,Scaffold,correct name,Yes,115,GCF_014648695.1 | Streptomyces albospinus JCM 3399 - ST 69,0,131,177
78,GCF_001570645.1,Streptomyces hygroscopicus,1,NBRC 100766,Scaffold,correct name,Yes,16,GCF_001570645.1 | Streptomyces hygroscopicus NBRC 100766 - ST 78,4,24,39
78,GCF_001553435.1,Streptomyces hygroscopicus,1,NBRC 16556,Scaffold,correct name,No,16,GCF_001553435.1 | Streptomyces hygroscopicus NBRC 16556 - ST 78,4,24,39
82,GCF_001270575.1,Streptomyces decoyicus,1,NRRL 2666,Contig,correct name,Yes,64,GCF_001270575.1 | Streptomyces decoyicus NRRL 2666 - ST 82,1,92,129
85,GCF_003970715.1,Streptomyces luteoverticillatus,6,CGMCC 15060,Complete Genome,synonym,No,63,GCF_003970715.1 | Streptomyces luteoverticillatus CGMCC 15060 - ST 85,1,132,178
91,GCF_002727115.1,Streptomyces cinnamoneus,8,ATCC 21532,Contig,correct name,Yes,44,GCF_002727115.1 | Streptomyces cinnamoneus ATCC 21532 - ST 91,1,74,107
91,GCF_002939475.1,Streptomyces cinnamoneus,3,DSM 41675,Contig,correct name,Yes,44,GCF_002939475.1 | Streptomyces cinnamoneus DSM 41675 - ST 91,1,74,107
92,GCF_009811595.1,Streptomyces libani,4,NBRC 13452,Contig,correct name,Yes,8,GCF_009811595.1 | Streptomyces libani NBRC 13452 - ST 92,2,106,143
93,GCF_016834575.1,Streptomyces sp.,1,S-9,Scaffold,not validly described,No,21,GCF_016834575.1 | Streptomyces sp. S-9 - ST 93,2,42,63
94,GCF_002154275.1,Streptomyces antimycoticus,1,NRRL B-24289,Scaffold,correct name,No,5,GCF_002154275.1 | Streptomyces antimycoticus NRRL B-24289 - ST 94,4,79,113
95,GCF_009936315.1,Streptomyces antimycoticus,3,NBRC 100767,Complete Genome,correct name,Yes,5,GCF_009936315.1 | Streptomyces antimycoticus NBRC 100767 - ST 95,2,79,113
98,GCF_018138715.1,Streptomyces asiaticus,4,DSM 41761,Contig,correct name,Yes,5,GCF_018138715.1 | Streptomyces asiaticus DSM 41761 - ST 98,4,79,112
98,GCF_018138705.1,Streptomyces indonesiensis,2,DSM 41759,Contig,correct name,Yes,5,GCF_018138705.1 | Streptomyces indonesiensis DSM 41759 - ST 98,4,79,112
99,GCF_002155885.1,Streptomyces rhizosphaericus,1,NRRL B-24304,Scaffold,correct name,No,5,GCF_002155885.1 | Streptomyces rhizosphaericus NRRL B-24304 - ST 99,1,79,112
99,GCF_017942185.1,Streptomyces rhizosphaericus,5,DSM 41760,Contig,correct name,Yes,5,GCF_017942185.1 | Streptomyces rhizosphaericus DSM 41760 - ST 99,1,79,112
103,GCF_000715845.1,Streptomyces monomycini,1,NRRL B-24309,Scaffold,correct name,No,121,GCF_000715845.1 | Streptomyces monomycini NRRL B-24309 - ST 103,0,133,179
105,GCF_004195845.1,Streptomyces albidoflavus,1,CGMCC 4.1681,Contig,correct name,Yes,3,GCF_004195845.1 | Streptomyces albidoflavus CGMCC 4.1681 - ST 105,10,57,79
107,GCF_004195885.1,Streptomyces albidoflavus,1,NBRC 12790,Contig,correct name,Yes,3,GCF_004195885.1 | Streptomyces albidoflavus NBRC 12790 - ST 107,5,57,79
110,GCF_004195755.1,Streptomyces albidoflavus,1,NBRC 13083,Contig,correct name,Yes,3,GCF_004195755.1 | Streptomyces albidoflavus NBRC 13083 - ST 110,1,57,79
120,GCF_016612755.1,Streptomyces sp.,1,MBT51,Contig,not validly described,No,26,GCF_016612755.1 | Streptomyces sp. MBT51 - ST 120,1,52,74
123,GCF_001514195.1,Streptomyces griseorubiginosus,1,DSM 40469,Scaffold,correct name,Yes,28,GCF_001514195.1 | Streptomyces griseorubiginosus DSM 40469 - ST 123,1,55,77
124,GCF_001278075.1,Streptomyces pristinaespiralis,6,HCCB 10218,Complete Genome,no record in LPSN entry,No,39,GCF_001278075.1 | Streptomyces pristinaespiralis HCCB 10218 - ST 124,1,67,94
124,GCF_014070435.1,Streptomyces pristinaespiralis,5,PR11,Complete Genome,no record in LPSN entry,No,39,GCF_014070435.1 | Streptomyces pristinaespiralis PR11 - ST 124,1,67,94
125,GCF_014650375.1,Streptomyces nitrosporeus,1,JCM 4598,Scaffold,correct name,Yes,125,GCF_014650375.1 | Streptomyces nitrosporeus JCM 4598 - ST 125,0,10,19
125,GCF_008704555.1,Streptomyces nitrosporeus,6,ATCC 12769,Complete Genome,correct name,Yes,125,GCF_008704555.1 | Streptomyces nitrosporeus ATCC 12769 - ST 125,0,10,19
128,GCF_016906265.1,Streptomyces californicus,6,FDAARGOS_1210,Complete Genome,correct name,No,7,GCF_016906265.1 | Streptomyces californicus FDAARGOS_1210 - ST 128,1,96,133
129,GCF_002155905.1,Streptomyces tricolor,1,NRRL B-16925,Scaffold,synonym,Yes,45,GCF_002155905.1 | Streptomyces tricolor NRRL B-16925 - ST 129,2,75,108
138,GCF_004195945.1,Streptomyces albidoflavus,1,CR10,Contig,correct name,No,3,GCF_004195945.1 | Streptomyces albidoflavus CR10 - ST 138,2,57,79
143,GCF_004196035.1,Streptomyces albidoflavus,1,CR19,Contig,correct name,No,3,GCF_004196035.1 | Streptomyces albidoflavus CR19 - ST 143,2,57,79
144,GCF_004195935.1,Streptomyces albidoflavus,1,CR33,Contig,correct name,No,3,GCF_004195935.1 | Streptomyces albidoflavus CR33 - ST 144,1,57,79
144,GCF_004195955.1,Streptomyces albidoflavus,1,CR25,Contig,correct name,No,3,GCF_004195955.1 | Streptomyces albidoflavus CR25 - ST 144,1,57,79
146,GCF_004195995.1,Streptomyces albidoflavus,1,CR47,Contig,correct name,No,3,GCF_004195995.1 | Streptomyces albidoflavus CR47 - ST 146,1,57,79
148,GCF_004195855.1,Streptomyces albidoflavus,1,FXJ.2339,Contig,correct name,No,3,GCF_004195855.1 | Streptomyces albidoflavus FXJ.2339 - ST 148,1,57,79
150,GCF_004196145.1,Streptomyces albidoflavus,1,FXJ8.031,Contig,correct name,No,3,GCF_004196145.1 | Streptomyces albidoflavus FXJ8.031 - ST 150,1,57,79
150,GCF_004196155.1,Streptomyces albidoflavus,1,CGMCC 4.1615,Contig,correct name,Yes,3,GCF_004196155.1 | Streptomyces albidoflavus CGMCC 4.1615 - ST 150,1,57,79
152,GCF_004195965.1,Streptomyces albidoflavus,1,Ma1,Contig,correct name,No,3,GCF_004195965.1 | Streptomyces albidoflavus Ma1 - ST 152,2,57,79
155,GCF_000716675.1,Streptomyces alboflavus,1,NRRL B-2373,Contig,correct name,Yes,66,GCF_000716675.1 | Streptomyces alboflavus NRRL B-2373 - ST 155,1,93,130
156,GCF_000813365.1,Streptomyces albus,1,NBRC 13014,Scaffold,correct name,Yes,29,GCF_000813365.1 | Streptomyces albus NBRC 13014 - ST 156,3,56,78
156,GCF_001661615.1,Streptomyces albus,1,NRRL B-12378,Scaffold,correct name,Yes,29,GCF_001661615.1 | Streptomyces albus NRRL B-12378 - ST 156,3,56,78
156,GCF_001418545.1,Streptomyces albus,1,NRRL B-1335,Scaffold,correct name,Yes,29,GCF_001418545.1 | Streptomyces albus NRRL B-1335 - ST 156,3,56,78
156,GCF_001418125.1,Streptomyces albus,1,NRRL B-1685,Scaffold,correct name,Yes,29,GCF_001418125.1 | Streptomyces albus NRRL B-1685 - ST 156,3,56,78
157,GCF_002154415.1,Streptomyces angustmyceticus,1,NRRL B-2347,Scaffold,correct name,Yes,23,GCF_002154415.1 | Streptomyces angustmyceticus NRRL B-2347 - ST 157,1,47,68
160,GCF_000009765.2,Streptomyces avermitilis,6,MA-4680,Complete Genome,correct name,Yes,129,GCF_000009765.2 | Streptomyces avermitilis MA-4680 - ST 160,0,11,20
160,GCF_000764715.1,Streptomyces avermitilis,1,NBRC 14893,Scaffold,correct name,Yes,129,GCF_000764715.1 | Streptomyces avermitilis NBRC 14893 - ST 160,0,11,20
160,GCF_001514135.1,Streptomyces avermitilis,1,DSM 46492,Scaffold,correct name,Yes,129,GCF_001514135.1 | Streptomyces avermitilis DSM 46492 - ST 160,0,11,20
160,GCF_002017835.1,Streptomyces avermitilis,5,MJM 7007,Contig,correct name,No,129,GCF_002017835.1 | Streptomyces avermitilis MJM 7007 - ST 160,0,11,20
160,GCF_005405965.1,Streptomyces avermitilis,5,NBRC 14893,Contig,correct name,Yes,129,GCF_005405965.1 | Streptomyces avermitilis NBRC 14893 - ST 160,0,11,20
160,GCF_009862865.1,Streptomyces sp.,6,SID5469,Contig,not validly described,No,129,GCF_009862865.1 | Streptomyces sp. SID5469 - ST 160,0,11,20
160,GCF_005406005.1,Streptomyces avermitilis,5,cw2,Contig,correct name,No,129,GCF_005406005.1 | Streptomyces avermitilis cw2 - ST 160,0,11,20
162,GCF_009870085.1,Streptomyces sp.,1,SID5476,Scaffold,not validly described,No,130,GCF_009870085.1 | Streptomyces sp. SID5476 - ST 162,0,13,22
162,GCF_000383595.1,Streptomyces bottropensis,6,ATCC 25435,Scaffold,correct name,Yes,130,GCF_000383595.1 | Streptomyces bottropensis ATCC 25435 - ST 162,0,13,22
162,GCF_000340335.1,Streptomyces bottropensis,1,ATCC 25435,Scaffold,correct name,Yes,130,GCF_000340335.1 | Streptomyces bottropensis ATCC 25435 - ST 162,0,13,22
167,GCF_015912435.1,Streptomyces clavuligerus,1,NCIMB 14335,Contig,correct name,No,132,GCF_015912435.1 | Streptomyces clavuligerus NCIMB 14335 - ST 167,0,14,23
167,GCF_015912455.1,Streptomyces clavuligerus,1,BW0219,Contig,correct name,No,132,GCF_015912455.1 | Streptomyces clavuligerus BW0219 - ST 167,0,14,23
167,GCF_001693675.1,Streptomyces clavuligerus,6,F613-1,Complete Genome,correct name,No,132,GCF_001693675.1 | Streptomyces clavuligerus F613-1 - ST 167,0,14,23
167,GCF_015912395.1,Streptomyces clavuligerus,1,ATCC 27064,Contig,correct name,Yes,132,GCF_015912395.1 | Streptomyces clavuligerus ATCC 27064 - ST 167,0,14,23
167,GCF_015767935.1,Streptomyces clavuligerus,5,F1D28,Complete Genome,correct name,No,132,GCF_015767935.1 | Streptomyces clavuligerus F1D28 - ST 167,0,14,23
167,GCF_015767915.1,Streptomyces clavuligerus,5,F1D35,Complete Genome,correct name,No,132,GCF_015767915.1 | Streptomyces clavuligerus F1D35 - ST 167,0,14,23
167,GCF_015767855.1,Streptomyces clavuligerus,5,F1D18,Complete Genome,correct name,No,132,GCF_015767855.1 | Streptomyces clavuligerus F1D18 - ST 167,0,14,23
167,GCF_015767875.1,Streptomyces clavuligerus,5,F1D26,Complete Genome,correct name,No,132,GCF_015767875.1 | Streptomyces clavuligerus F1D26 - ST 167,0,14,23
167,GCF_015912465.1,Streptomyces clavuligerus,1,BW0220,Contig,correct name,No,132,GCF_015912465.1 | Streptomyces clavuligerus BW0220 - ST 167,0,14,23
167,GCF_015767815.1,Streptomyces clavuligerus,4,F1D14,Complete Genome,correct name,No,132,GCF_015767815.1 | Streptomyces clavuligerus F1D14 - ST 167,0,14,23
167,GCF_015767795.1,Streptomyces clavuligerus,5,F1D10,Complete Genome,correct name,No,132,GCF_015767795.1 | Streptomyces clavuligerus F1D10 - ST 167,0,14,23
167,GCF_015767775.1,Streptomyces clavuligerus,5,F1D7,Complete Genome,correct name,No,132,GCF_015767775.1 | Streptomyces clavuligerus F1D7 - ST 167,0,14,23
167,GCF_015767755.1,Streptomyces clavuligerus,5,F1D4,Complete Genome,correct name,No,132,GCF_015767755.1 | Streptomyces clavuligerus F1D4 - ST 167,0,14,23
167,GCF_015767735.1,Streptomyces clavuligerus,5,F1D1,Complete Genome,correct name,No,132,GCF_015767735.1 | Streptomyces clavuligerus F1D1 - ST 167,0,14,23
167,GCF_015708605.1,Streptomyces clavuligerus,5,Leon-isolate,Complete Genome,correct name,No,132,GCF_015708605.1 | Streptomyces clavuligerus Leon-isolate - ST 167,0,14,23
167,GCF_005519465.1,Streptomyces clavuligerus,5,ATCC 27064,Complete Genome,correct name,Yes,132,GCF_005519465.1 | Streptomyces clavuligerus ATCC 27064 - ST 167,0,14,23
167,GCF_003454755.1,Streptomyces clavuligerus,6,F1D-5,Complete Genome,correct name,No,132,GCF_003454755.1 | Streptomyces clavuligerus F1D-5 - ST 167,0,14,23
167,GCF_015767895.1,Streptomyces clavuligerus,4,F1D31,Complete Genome,correct name,No,132,GCF_015767895.1 | Streptomyces clavuligerus F1D31 - ST 167,0,14,23
167,GCF_015912875.1,Streptomyces clavuligerus,1,DSM 738,Contig,correct name,Yes,132,GCF_015912875.1 | Streptomyces clavuligerus DSM 738 - ST 167,0,14,23
167,GCF_000163875.1,Streptomyces clavuligerus,4,ATCC 27064,Chromosome,correct name,Yes,132,GCF_000163875.1 | Streptomyces clavuligerus ATCC 27064 - ST 167,0,14,23
167,GCF_015912925.1,Streptomyces clavuligerus,1,ATCC 27064,Contig,correct name,Yes,132,GCF_015912925.1 | Streptomyces clavuligerus ATCC 27064 - ST 167,0,14,23
167,GCF_015912945.1,Streptomyces clavuligerus,1,NCIMB 12785,Contig,correct name,Yes,132,GCF_015912945.1 | Streptomyces clavuligerus NCIMB 12785 - ST 167,0,14,23
167,GCF_015912975.1,Streptomyces clavuligerus,1,BW0218,Contig,correct name,No,132,GCF_015912975.1 | Streptomyces clavuligerus BW0218 - ST 167,0,14,23
167,GCF_015912985.1,Streptomyces clavuligerus,1,BW0217,Contig,correct name,No,132,GCF_015912985.1 | Streptomyces clavuligerus BW0217 - ST 167,0,14,23
167,GCF_015912995.1,Streptomyces clavuligerus,1,BW0216,Contig,correct name,No,132,GCF_015912995.1 | Streptomyces clavuligerus BW0216 - ST 167,0,14,23
167,GCF_000148465.1,Streptomyces clavuligerus,3,ATCC 27064,Chromosome,correct name,Yes,132,GCF_000148465.1 | Streptomyces clavuligerus ATCC 27064 - ST 167,0,14,23
167,GCF_015912895.1,Streptomyces clavuligerus,1,NRRL 3585,Contig,correct name,Yes,132,GCF_015912895.1 | Streptomyces clavuligerus NRRL 3585 - ST 167,0,14,23
168,GCF_008931305.1,Streptomyces coelicolor,4,CFB_NBC_0001,Complete Genome,synonym,No,13,GCF_008931305.1 | Streptomyces coelicolor CFB_NBC_0001 - ST 168,3,12,21
168,GCF_009862445.1,Streptomyces sp.,4,SID7813,Contig,not validly described,No,13,GCF_009862445.1 | Streptomyces sp. SID7813 - ST 168,3,12,21
168,GCF_013307045.1,Streptomyces coelicolor,1,M1154/pAMX4,Contig,synonym,No,13,GCF_013307045.1 | Streptomyces coelicolor M1154/pAMX4 - ST 168,3,12,21
168,GCF_013317105.1,Streptomyces coelicolor,4,M1154/pAMX4/pGP1416,Complete Genome,synonym,No,13,GCF_013317105.1 | Streptomyces coelicolor M1154/pAMX4/pGP1416 - ST 168,3,12,21
168,GCF_008124975.1,Streptomyces coelicolor,1,A3(2) R4-mCherry-17,Scaffold,synonym,No,13,GCF_008124975.1 | Streptomyces coelicolor A3(2) R4-mCherry-17 - ST 168,3,12,21
168,GCF_008124915.1,Streptomyces coelicolor,1,ICSSB 1010,Scaffold,synonym,No,13,GCF_008124915.1 | Streptomyces coelicolor ICSSB 1010 - ST 168,3,12,21
168,GCF_008124905.1,Streptomyces coelicolor,1,A3(2) R4-mCherry-14,Scaffold,synonym,No,13,GCF_008124905.1 | Streptomyces coelicolor A3(2) R4-mCherry-14 - ST 168,3,12,21
168,GCF_008125035.1,Streptomyces coelicolor,1,A3(2) R4-mCherry-18,Scaffold,synonym,No,13,GCF_008125035.1 | Streptomyces coelicolor A3(2) R4-mCherry-18 - ST 168,3,12,21
168,GCF_008124985.1,Streptomyces coelicolor,1,A3(2) R4-mCherry-15,Scaffold,synonym,No,13,GCF_008124985.1 | Streptomyces coelicolor A3(2) R4-mCherry-15 - ST 168,3,12,21
173,GCF_000955965.1,Streptomyces variegatus,1,NRRL B-16380,Contig,correct name,No,136,GCF_000955965.1 | Streptomyces variegatus NRRL B-16380 - ST 173,0,15,24
173,GCF_000725785.1,Streptomyces flavovariabilis,1,NRRL B-16367,Scaffold,correct name,Yes,136,GCF_000725785.1 | Streptomyces flavovariabilis NRRL B-16367 - ST 173,0,15,24
174,GCF_000385945.1,Streptomyces fulvissimus,6,DSM 40593,Complete Genome,synonym,Yes,1,GCF_000385945.1 | Streptomyces fulvissimus DSM 40593 - ST 174,1,1,5
180,GCF_001418475.1,Streptomyces ossamyceticus,1,NRRL B-3822,Scaffold,correct name,Yes,68,GCF_001418475.1 | Streptomyces ossamyceticus NRRL B-3822 - ST 180,1,94,131
181,GCF_000717055.1,Streptomyces iakyrus,1,NRRL ISP-5482,Contig,correct name,Yes,69,GCF_000717055.1 | Streptomyces iakyrus NRRL ISP-5482 - ST 181,1,95,132
182,GCF_006547165.1,Streptomyces ipomoeae,1,B12321,Scaffold,correct name,No,31,GCF_006547165.1 | Streptomyces ipomoeae B12321 - ST 182,1,59,81
183,GCF_000966975.1,Streptomyces katrae,1,NRRL ISP-5550,Contig,correct name,Yes,138,GCF_000966975.1 | Streptomyces katrae NRRL ISP-5550 - ST 183,0,134,180
184,GCF_000718155.1,Streptomyces lavendulae,1,NRRL B-2774,Contig,correct name,No,139,GCF_000718155.1 | Streptomyces lavendulae NRRL B-2774 - ST 184,0,135,181
185,GCF_000718625.1,Streptomyces lavenduligriseus,1,NRRL ISP-5487,Contig,correct name,Yes,140,GCF_000718625.1 | Streptomyces lavenduligriseus NRRL ISP-5487 - ST 185,0,17,31
185,GCF_011820545.1,Streptomyces sp.,4,DSM 40868,Complete Genome,not validly described,No,140,GCF_011820545.1 | Streptomyces sp. DSM 40868 - ST 185,0,17,31
186,GCF_000696595.1,Streptomyces leeuwenhoekii,1,C34,Scaffold,correct name,Yes,48,GCF_000696595.1 | Streptomyces leeuwenhoekii C34 - ST 186,2,77,110
190,GCF_000342125.1,Streptomyces mobaraensis,1,DSM 40847,Contig,correct name,Yes,70,GCF_000342125.1 | Streptomyces mobaraensis DSM 40847 - ST 190,1,97,134
191,GCF_001418645.1,Streptomyces neyagawaensis,1,NRRL B-3092,Scaffold,correct name,Yes,144,GCF_001418645.1 | Streptomyces neyagawaensis NRRL B-3092 - ST 191,0,136,182
193,GCF_000819545.1,Streptomyces nodosus,1,ATCC 14899,Chromosome,correct name,Yes,49,GCF_000819545.1 | Streptomyces nodosus ATCC 14899 - ST 193,2,78,111
