ST,accession,organism,16S_copies,strain,assembly_status,status_tax,Type_Strain,pyani_group_ID,pyani_genus_ID,pyani_species_ID,completeness,contamination,strain_heterogeneity,total_genes,total_cds,GC_content,genome_size
12,GCF_900460065.1,Streptomyces griseus,4,NCTC13033,Contig,correct name,No,1,1,1,99.84,0.0,0.0,7220,0,72.24754921214836,8528890
12,GCF_009866455.1,Streptomyces griseus,1,CGMCC 4.18,Scaffold,correct name,No,1,1,1,99.84,0.18,100.0,7231,0,72.31134661537746,8474298
16,GCF_008704495.1,Streptomyces kanamyceticus,3,ATCC 12853,Complete Genome,correct name,Yes,103,7,16,99.46,1.57,0.0,8724,0,71.03040419692445,10133897
16,GCF_001418465.1,Streptomyces kanamyceticus,1,NRRL B-2535,Scaffold,correct name,Yes,103,7,16,95.43,1.57,0.0,8730,0,70.96371893327549,9783257
17,GCF_008639165.1,Streptomyces venezuelae,5,ATCC 10712,Complete Genome,correct name,Yes,20,41,61,99.49,0.85,0.0,7415,0,72.46421082008219,8223505
17,GCF_001886595.1,Streptomyces venezuelae,4,NRRL B-65442,Complete Genome,correct name,No,20,41,61,99.49,0.85,0.0,7590,0,72.42033717089562,8380320
18,GCF_000720235.1,Streptomyces sp.,1,NRRL S-98,Contig,not validly described,No,10,4,12,99.58,1.99,0.0,7419,0,72.46556226681516,8203792
18,GCF_000720455.1,Streptomyces virginiae,1,NRRL ISP-5094,Contig,correct name,Yes,10,4,12,99.58,2.28,0.0,7559,0,72.39814255822358,8318538
18,GCF_000966965.1,Streptomyces sp.,1,NRRL S-104,Contig,not validly described,No,10,4,12,99.58,2.34,7.69,7531,0,72.46731313245043,8171095
20,GCF_002154575.1,Streptomyces bobili,1,NRRL B-1338,Scaffold,correct name,Yes,57,88,124,97.74,0.64,0.0,7698,0,71.22630446158351,8062541
24,GCF_002154385.1,Streptomyces albovinaceus,1,NRRL B-2566,Scaffold,synonym,Yes,2,37,52,96.32,0.0,0.0,6791,0,71.39081079482759,7237318
25,GCF_004028635.1,Streptomyces cyaneus,1,CGMCC 4.1671,Scaffold,correct name,No,104,128,174,100.0,0.0,0.0,8628,0,70.37668880389512,9833661
29,GCF_001700505.1,Streptomyces mutomycini,1,NRRL B-65393,Scaffold,correct name,No,42,72,105,98.46,0.7,0.0,6265,0,70.6143429719856,7070041
32,GCF_014650935.1,Streptomyces subrutilus,1,JCM 4834,Scaffold,correct name,Yes,106,8,17,99.14,1.39,0.0,7107,0,72.88479852172834,7889213
32,GCF_008704535.1,Streptomyces subrutilus,6,ATCC 27467,Complete Genome,correct name,Yes,106,8,17,99.14,0.76,14.29,6715,0,73.44777247101699,7604974
38,GCF_000716935.1,Streptomyces alboviridis,1,NRRL B-1579,Contig,synonym,No,1,1,5,99.84,0.99,50.0,7845,0,71.25053595898302,8571085
39,GCF_000359525.1,Streptomyces albidoflavus,5,J1074,Complete Genome,correct name,No,3,57,79,99.89,1.0,0.0,5934,0,73.32127093921363,6841649
39,GCF_013693715.1,Streptomyces albidoflavus,4,J1074/R2,Complete Genome,correct name,No,3,57,79,99.89,1.0,0.0,6027,0,73.24882845222032,6942952
45,GCF_014648615.1,Streptomyces nojiriensis,1,JCM 3382,Scaffold,correct name,Yes,9,117,162,99.46,1.52,0.0,8214,0,71.87090539422566,8994303
45,GCF_016755855.1,Streptomyces nojiriensis,7,NBRC 13794,Contig,correct name,Yes,9,117,162,99.58,2.03,41.18,8186,0,71.9815326935873,9047340
45,GCF_017639205.1,Streptomyces nojiriensis,7,JCM 3382,Complete Genome,correct name,Yes,9,117,162,99.58,1.44,0.0,8172,0,71.97513531102362,9022916
47,GCF_016755875.1,Streptomyces spororaveus,7,NBRC 15456,Contig,correct name,Yes,9,117,163,99.58,1.96,15.38,8018,0,71.74767346830949,8857713
49,GCF_000717665.1,Streptomyces californicus,1,NRRL 2423,Contig,correct name,Yes,7,96,133,99.93,0.54,0.0,6811,0,72.65488940198146,7896344
51,GCF_013409565.1,Streptomyces fulvorobeus,3,DSM 41455,Contig,correct name,Yes,1,3,9,99.84,0.47,0.0,5896,0,70.80278813546826,6646162
51,GCF_013167895.1,Streptomyces fulvorobeus,3,NBRC 15897,Contig,correct name,Yes,1,3,9,98.88,0.0,0.0,5916,0,70.80013911608822,6633309
52,GCF_000720485.1,Streptomyces ochraceiscleroticus,1,NRRL ISP-5594,Contig,correct name,Yes,111,129,175,99.91,2.65,0.0,7438,0,71.36500023190627,8408570
55,GCF_001723055.1,Streptomyces niveus,1,NRRL 2466,Scaffold,correct name,Yes,61,91,128,95.2,0.89,0.0,7730,0,70.78752591356651,8275588
56,GCF_001553455.1,Streptomyces hygroscopicus,1,NBRC 13472,Contig,correct name,Yes,16,24,39,100.0,2.46,0.0,8144,0,71.98909748363481,9464604
56,GCF_001553475.1,Streptomyces hygroscopicus,1,NBRC 12859,Contig,correct name,Yes,16,24,39,100.0,2.46,0.0,8344,0,71.92791694580298,9781661
58,GCF_004125245.1,Streptomyces lydicus,7,ATCC 25470,Contig,correct name,Yes,22,44,65,99.91,1.78,0.0,7042,0,72.01623646813974,7935716
59,GCF_009811635.1,Streptomyces tubercidicus,7,NBRC 13090,Contig,correct name,Yes,8,106,145,100.0,1.25,0.0,6819,0,70.73582516176545,7928609
60,GCF_001294335.1,Streptomyces chattanoogensis,1,NRRL ISP-5002,Contig,correct name,Yes,22,43,64,99.91,0.68,33.33,8229,0,70.89427714984109,9129105
66,GCF_009811555.1,Streptomyces caniferus,7,NBRC 15389,Contig,correct name,Yes,113,130,176,100.0,2.97,73.91,7978,0,71.33644441223096,9147309
67,GCF_005405925.1,Streptomyces antimycoticus,1,NBRC 12839,Contig,correct name,Yes,5,79,113,98.42,2.54,0.0,9609,0,70.94508519134124,11174199
69,GCF_014648695.1,Streptomyces albospinus,1,JCM 3399,Scaffold,correct name,Yes,115,131,177,99.17,1.7,0.0,8360,0,70.84029136574024,9206985
78,GCF_001570645.1,Streptomyces hygroscopicus,1,NBRC 100766,Scaffold,correct name,Yes,16,24,39,100.0,2.98,0.0,8419,0,71.87834436665891,10165415
78,GCF_001553435.1,Streptomyces hygroscopicus,1,NBRC 16556,Scaffold,correct name,No,16,24,39,100.0,3.51,0.0,8395,0,71.86671017078325,10141569
82,GCF_001270575.1,Streptomyces decoyicus,1,NRRL 2666,Contig,correct name,Yes,64,92,129,100.0,0.71,0.0,7691,0,70.96611250672458,8586029
85,GCF_003970715.1,Streptomyces luteoverticillatus,6,CGMCC 15060,Complete Genome,synonym,No,63,132,178,99.64,1.64,0.0,6521,0,72.05272410738365,7367863
91,GCF_002727115.1,Streptomyces cinnamoneus,8,ATCC 21532,Contig,correct name,Yes,44,74,107,99.64,7.93,75.51,6654,0,72.1950779458156,7548962
91,GCF_002939475.1,Streptomyces cinnamoneus,3,DSM 41675,Contig,correct name,Yes,44,74,107,99.64,0.48,0.0,5770,0,72.39930118315576,6662690
92,GCF_009811595.1,Streptomyces libani,4,NBRC 13452,Contig,correct name,Yes,8,106,143,99.91,1.24,0.0,7863,0,70.99114746015636,9151272
93,GCF_016834575.1,Streptomyces sp.,1,S-9,Scaffold,not validly described,No,21,42,63,99.57,0.0,0.0,6620,0,72.53645208564578,7144310
94,GCF_002154275.1,Streptomyces antimycoticus,1,NRRL B-24289,Scaffold,correct name,No,5,79,113,98.95,2.81,11.11,10093,0,70.71600818011655,10807181
95,GCF_009936315.1,Streptomyces antimycoticus,3,NBRC 100767,Complete Genome,correct name,Yes,5,79,113,97.89,3.42,0.0,9436,0,70.89994513943084,11000615
98,GCF_018138715.1,Streptomyces asiaticus,4,DSM 41761,Contig,correct name,Yes,5,79,112,100.0,2.81,0.0,10062,0,71.002051452935,11877923
98,GCF_018138705.1,Streptomyces indonesiensis,2,DSM 41759,Contig,correct name,Yes,5,79,112,100.0,2.81,0.0,9775,0,71.07864506718282,11666822
99,GCF_002155885.1,Streptomyces rhizosphaericus,1,NRRL B-24304,Scaffold,correct name,No,5,79,112,98.03,3.95,11.11,10374,0,70.88374787525044,11558421
99,GCF_017942185.1,Streptomyces rhizosphaericus,5,DSM 41760,Contig,correct name,Yes,5,79,112,100.0,2.89,0.0,9170,0,71.07507294008269,11044339
103,GCF_000715845.1,Streptomyces monomycini,1,NRRL B-24309,Scaffold,correct name,No,121,133,179,98.93,1.76,0.0,8031,0,71.01373388843392,9111622
105,GCF_004195845.1,Streptomyces albidoflavus,1,CGMCC 4.1681,Contig,correct name,Yes,3,57,79,99.89,0.57,0.0,6318,0,73.34165118887819,7227023
107,GCF_004195885.1,Streptomyces albidoflavus,1,NBRC 12790,Contig,correct name,Yes,3,57,79,99.89,0.36,0.0,6041,0,73.45143905301038,6953149
110,GCF_004195755.1,Streptomyces albidoflavus,1,NBRC 13083,Contig,correct name,Yes,3,57,79,99.89,0.57,0.0,6154,0,73.47330691309651,7042329
120,GCF_016612755.1,Streptomyces sp.,1,MBT51,Contig,not validly described,No,26,52,74,99.68,0.97,0.0,6848,0,71.75987821564408,7531345
123,GCF_001514195.1,Streptomyces griseorubiginosus,1,DSM 40469,Scaffold,correct name,Yes,28,55,77,99.57,0.43,0.0,8707,0,70.77986632889942,9866755
124,GCF_001278075.1,Streptomyces pristinaespiralis,6,HCCB 10218,Complete Genome,no record in LPSN entry,No,39,67,94,99.93,0.35,0.0,7368,0,71.54140265935604,8532592
124,GCF_014070435.1,Streptomyces pristinaespiralis,5,PR11,Complete Genome,no record in LPSN entry,No,39,67,94,99.73,0.35,0.0,7067,0,71.48935393853671,8112061
125,GCF_014650375.1,Streptomyces nitrosporeus,1,JCM 4598,Scaffold,correct name,Yes,125,10,19,99.84,1.12,0.0,7002,0,72.11521118866867,7850800
125,GCF_008704555.1,Streptomyces nitrosporeus,6,ATCC 12769,Complete Genome,correct name,Yes,125,10,19,99.84,0.73,0.0,6660,0,72.17223838570469,7581562
128,GCF_016906265.1,Streptomyces californicus,6,FDAARGOS_1210,Complete Genome,correct name,No,7,96,133,99.84,0.89,0.0,7174,0,72.46837178984903,8221537
129,GCF_002155905.1,Streptomyces tricolor,1,NRRL B-16925,Scaffold,synonym,Yes,45,75,108,96.62,1.13,20.0,8499,0,72.42765124050706,8832356
138,GCF_004195945.1,Streptomyces albidoflavus,1,CR10,Contig,correct name,No,3,57,79,99.89,0.0,0.0,6192,0,73.40945979481012,7156688
143,GCF_004196035.1,Streptomyces albidoflavus,1,CR19,Contig,correct name,No,3,57,79,99.89,0.43,0.0,6126,0,73.51940455631937,7103409
144,GCF_004195935.1,Streptomyces albidoflavus,1,CR33,Contig,correct name,No,3,57,79,99.89,0.72,0.0,6223,0,73.43909431401997,7157271
144,GCF_004195955.1,Streptomyces albidoflavus,1,CR25,Contig,correct name,No,3,57,79,99.89,0.72,0.0,6225,0,73.44282496557636,7168767
146,GCF_004195995.1,Streptomyces albidoflavus,1,CR47,Contig,correct name,No,3,57,79,99.89,0.72,0.0,6168,0,73.4316507974904,7135321
148,GCF_004195855.1,Streptomyces albidoflavus,1,FXJ.2339,Contig,correct name,No,3,57,79,99.89,0.36,0.0,6193,0,73.41771334093256,7120012
150,GCF_004196145.1,Streptomyces albidoflavus,1,FXJ8.031,Contig,correct name,No,3,57,79,99.89,0.64,33.33,6022,0,73.53710766530715,6960543
150,GCF_004196155.1,Streptomyces albidoflavus,1,CGMCC 4.1615,Contig,correct name,Yes,3,57,79,99.89,0.64,33.33,6022,0,73.5380802152126,6957957
152,GCF_004195965.1,Streptomyces albidoflavus,1,Ma1,Contig,correct name,No,3,57,79,99.89,0.68,16.67,6346,0,73.30667736537663,7268166
155,GCF_000716675.1,Streptomyces alboflavus,1,NRRL B-2373,Contig,correct name,Yes,66,93,130,99.89,0.14,0.0,8298,0,72.17590141370484,9717375
156,GCF_000813365.1,Streptomyces albus,1,NBRC 13014,Scaffold,correct name,Yes,29,56,78,99.64,1.25,0.0,6406,0,72.66666675444937,7594511
156,GCF_001661615.1,Streptomyces albus,1,NRRL B-12378,Scaffold,correct name,Yes,29,56,78,95.63,1.3,0.0,6443,0,72.55167608362672,7195882
156,GCF_001418545.1,Streptomyces albus,1,NRRL B-1335,Scaffold,correct name,Yes,29,56,78,96.07,1.07,0.0,6300,0,72.5365176167621,6963283
156,GCF_001418125.1,Streptomyces albus,1,NRRL B-1685,Scaffold,correct name,Yes,29,56,78,97.57,1.15,0.0,6493,0,72.58922837952758,7375232
157,GCF_002154415.1,Streptomyces angustmyceticus,1,NRRL B-2347,Scaffold,correct name,Yes,23,47,68,94.62,0.98,0.0,6834,0,72.04658620890199,7462466
160,GCF_000009765.2,Streptomyces avermitilis,6,MA-4680,Complete Genome,correct name,Yes,129,11,20,99.89,0.79,0.0,7944,0,70.70135127652237,9119895
160,GCF_000764715.1,Streptomyces avermitilis,1,NBRC 14893,Scaffold,correct name,Yes,129,11,20,99.89,1.22,0.0,9178,0,70.5567063779516,10426843
160,GCF_001514135.1,Streptomyces avermitilis,1,DSM 46492,Scaffold,correct name,Yes,129,11,20,99.89,1.0,0.0,7853,0,70.52400100064456,8950231
160,GCF_002017835.1,Streptomyces avermitilis,5,MJM 7007,Contig,correct name,No,129,11,20,98.61,1.0,0.0,8327,0,70.71588170809628,9446868
160,GCF_005405965.1,Streptomyces avermitilis,5,NBRC 14893,Contig,correct name,Yes,129,11,20,97.1,1.22,0.0,9200,0,70.5358324873232,10484508
160,GCF_009862865.1,Streptomyces sp.,6,SID5469,Contig,not validly described,No,129,11,20,99.89,0.79,0.0,7849,0,70.71655449693804,9025608
160,GCF_005406005.1,Streptomyces avermitilis,5,cw2,Contig,correct name,No,129,11,20,99.03,0.57,0.0,7204,0,70.88382397853614,8300465
162,GCF_009870085.1,Streptomyces sp.,1,SID5476,Scaffold,not validly described,No,130,13,22,100.0,1.09,85.71,7785,0,71.22903483191352,8914727
162,GCF_000383595.1,Streptomyces bottropensis,6,ATCC 25435,Scaffold,correct name,Yes,130,13,22,100.0,0.94,80.0,7809,0,71.18922575344534,8955726
162,GCF_000340335.1,Streptomyces bottropensis,1,ATCC 25435,Scaffold,correct name,Yes,130,13,22,100.0,1.09,85.71,7788,0,71.22903483191352,8914727
167,GCF_015912435.1,Streptomyces clavuligerus,1,NCIMB 14335,Contig,correct name,No,132,14,23,99.23,1.6,0.0,8085,0,72.21101265100663,8834712
167,GCF_015912455.1,Streptomyces clavuligerus,1,BW0219,Contig,correct name,No,132,14,23,99.23,0.43,0.0,5879,0,72.45194889954902,6551723
167,GCF_001693675.1,Streptomyces clavuligerus,6,F613-1,Complete Genome,correct name,No,132,14,23,99.58,1.02,0.0,6210,0,72.60461998656787,7590758
167,GCF_015912395.1,Streptomyces clavuligerus,1,ATCC 27064,Contig,correct name,Yes,132,14,23,99.58,1.11,0.0,7983,0,72.25178252882944,8856659
167,GCF_015767935.1,Streptomyces clavuligerus,5,F1D28,Complete Genome,correct name,No,132,14,23,99.58,1.02,0.0,6205,0,72.6159521065981,7583174
167,GCF_015767915.1,Streptomyces clavuligerus,5,F1D35,Complete Genome,correct name,No,132,14,23,99.58,1.02,0.0,6438,0,72.67388460186514,7880370
167,GCF_015767855.1,Streptomyces clavuligerus,5,F1D18,Complete Genome,correct name,No,132,14,23,99.58,1.02,0.0,6191,0,72.61900262128637,7566514
167,GCF_015767875.1,Streptomyces clavuligerus,5,F1D26,Complete Genome,correct name,No,132,14,23,99.58,1.02,0.0,6227,0,72.60961956723952,7606101
167,GCF_015912465.1,Streptomyces clavuligerus,1,BW0220,Contig,correct name,No,132,14,23,99.23,0.31,0.0,5839,0,72.44202376280126,6494773
167,GCF_015767815.1,Streptomyces clavuligerus,4,F1D14,Complete Genome,correct name,No,132,14,23,99.58,1.02,0.0,6369,0,72.66404697223778,7790985
167,GCF_015767795.1,Streptomyces clavuligerus,5,F1D10,Complete Genome,correct name,No,132,14,23,99.58,1.02,0.0,6363,0,72.65638478925982,7778346
167,GCF_015767775.1,Streptomyces clavuligerus,5,F1D7,Complete Genome,correct name,No,132,14,23,99.58,1.02,0.0,6208,0,72.61504290544039,7588082
167,GCF_015767755.1,Streptomyces clavuligerus,5,F1D4,Complete Genome,correct name,No,132,14,23,99.58,1.55,37.5,6286,0,72.62960222757671,7665011
167,GCF_015767735.1,Streptomyces clavuligerus,5,F1D1,Complete Genome,correct name,No,132,14,23,99.58,1.02,0.0,6215,0,72.60969453472597,7588915
167,GCF_015708605.1,Streptomyces clavuligerus,5,Leon-isolate,Complete Genome,correct name,No,132,14,23,99.58,1.07,0.0,7123,0,72.45876471400499,8704802
167,GCF_005519465.1,Streptomyces clavuligerus,5,ATCC 27064,Complete Genome,correct name,Yes,132,14,23,99.58,1.07,0.0,6958,0,72.50110778379337,8544086
167,GCF_003454755.1,Streptomyces clavuligerus,6,F1D-5,Complete Genome,correct name,No,132,14,23,99.58,1.02,0.0,6552,0,72.52905247157724,8059125
167,GCF_015767895.1,Streptomyces clavuligerus,4,F1D31,Complete Genome,correct name,No,132,14,23,99.58,1.02,0.0,6213,0,72.61421733723952,7597161
167,GCF_015912875.1,Streptomyces clavuligerus,1,DSM 738,Contig,correct name,Yes,132,14,23,99.58,1.07,0.0,7958,0,72.2437127679697,8818348
167,GCF_000163875.1,Streptomyces clavuligerus,4,ATCC 27064,Chromosome,correct name,Yes,132,14,23,98.93,0.72,0.0,7009,0,72.25575594503238,8556892
167,GCF_015912925.1,Streptomyces clavuligerus,1,ATCC 27064,Contig,correct name,Yes,132,14,23,99.12,1.66,0.0,7705,0,72.2664888647898,8431857
167,GCF_015912945.1,Streptomyces clavuligerus,1,NCIMB 12785,Contig,correct name,Yes,132,14,23,99.58,1.2,0.0,8040,0,72.2178332924878,8834095
167,GCF_015912975.1,Streptomyces clavuligerus,1,BW0218,Contig,correct name,No,132,14,23,99.58,0.31,0.0,5916,0,72.5022989405382,6618266
167,GCF_015912985.1,Streptomyces clavuligerus,1,BW0217,Contig,correct name,No,132,14,23,98.74,0.78,20.0,5870,0,72.35152534463346,6385770
167,GCF_015912995.1,Streptomyces clavuligerus,1,BW0216,Contig,correct name,No,132,14,23,99.08,0.31,0.0,5845,0,72.47737913821493,6522740
167,GCF_000148465.1,Streptomyces clavuligerus,3,ATCC 27064,Chromosome,correct name,Yes,132,14,23,99.58,1.07,0.0,7551,0,72.32230195936381,9143376
167,GCF_015912895.1,Streptomyces clavuligerus,1,NRRL 3585,Contig,correct name,Yes,132,14,23,99.4,1.42,0.0,8038,0,72.21893536092347,8816246
168,GCF_008931305.1,Streptomyces coelicolor,4,CFB_NBC_0001,Complete Genome,synonym,No,13,12,21,99.57,0.0,0.0,7801,0,72.11928150422075,8667664
168,GCF_009862445.1,Streptomyces sp.,4,SID7813,Contig,not validly described,No,13,12,21,100.0,0.0,0.0,7804,0,72.11866110982085,8667507
168,GCF_013307045.1,Streptomyces coelicolor,1,M1154/pAMX4,Contig,synonym,No,13,12,21,100.0,0.0,0.0,7774,0,72.07757154852663,8476974
168,GCF_013317105.1,Streptomyces coelicolor,4,M1154/pAMX4/pGP1416,Complete Genome,synonym,No,13,12,21,100.0,0.0,0.0,7792,0,71.9714393309426,8585093
168,GCF_008124975.1,Streptomyces coelicolor,1,A3(2) R4-mCherry-17,Scaffold,synonym,No,13,12,21,100.0,0.0,0.0,7766,0,72.17581525053532,8584079
168,GCF_008124915.1,Streptomyces coelicolor,1,ICSSB 1010,Scaffold,synonym,No,13,12,21,100.0,0.0,0.0,7760,0,72.18099006212933,8580007
168,GCF_008124905.1,Streptomyces coelicolor,1,A3(2) R4-mCherry-14,Scaffold,synonym,No,13,12,21,100.0,0.0,0.0,7767,0,72.17554129690416,8585353
168,GCF_008125035.1,Streptomyces coelicolor,1,A3(2) R4-mCherry-18,Scaffold,synonym,No,13,12,21,100.0,0.0,0.0,7765,0,72.17757486926803,8584931
168,GCF_008124985.1,Streptomyces coelicolor,1,A3(2) R4-mCherry-15,Scaffold,synonym,No,13,12,21,100.0,0.0,0.0,7771,0,72.17631489402251,8584323
173,GCF_000955965.1,Streptomyces variegatus,1,NRRL B-16380,Contig,correct name,No,136,15,24,100.0,0.0,0.0,8038,0,71.24131184267277,8775595
173,GCF_000725785.1,Streptomyces flavovariabilis,1,NRRL B-16367,Scaffold,correct name,Yes,136,15,24,100.0,0.0,0.0,7981,0,71.24380667914289,8762262
174,GCF_000385945.1,Streptomyces fulvissimus,6,DSM 40593,Complete Genome,synonym,Yes,1,1,5,99.84,0.8,33.33,7009,0,71.47936984663583,7905758
180,GCF_001418475.1,Streptomyces ossamyceticus,1,NRRL B-3822,Scaffold,correct name,Yes,68,94,131,95.35,0.43,0.0,8476,0,71.14810627023282,9298634
181,GCF_000717055.1,Streptomyces iakyrus,1,NRRL ISP-5482,Contig,correct name,Yes,69,95,132,99.89,2.5,0.0,8535,0,71.21104774354332,9127873
182,GCF_006547165.1,Streptomyces ipomoeae,1,B12321,Scaffold,correct name,No,31,59,81,99.89,1.43,0.0,9357,0,70.31531551381043,10892772
183,GCF_000966975.1,Streptomyces katrae,1,NRRL ISP-5550,Contig,correct name,Yes,138,134,180,98.41,2.64,20.0,8308,0,72.80446402127654,8049424
184,GCF_000718155.1,Streptomyces lavendulae,1,NRRL B-2774,Contig,correct name,No,139,135,181,98.87,2.01,0.0,7880,0,72.71275078444424,8466185
185,GCF_000718625.1,Streptomyces lavenduligriseus,1,NRRL ISP-5487,Contig,correct name,Yes,140,17,31,100.0,1.02,0.0,7940,0,72.28910990907153,8716851
185,GCF_011820545.1,Streptomyces sp.,4,DSM 40868,Complete Genome,not validly described,No,140,17,31,100.0,1.48,0.0,8183,0,72.20798910968428,9195693
186,GCF_000696595.1,Streptomyces leeuwenhoekii,1,C34,Scaffold,correct name,Yes,48,77,110,99.46,1.29,0.0,7070,0,72.49055425798696,7854862
190,GCF_000342125.1,Streptomyces mobaraensis,1,DSM 40847,Contig,correct name,Yes,70,97,134,98.84,1.75,0.0,6523,0,73.26973094131425,7477811
191,GCF_001418645.1,Streptomyces neyagawaensis,1,NRRL B-3092,Scaffold,correct name,Yes,144,136,182,95.66,1.77,0.0,8525,0,71.09273134928999,9132025
193,GCF_000819545.1,Streptomyces nodosus,1,ATCC 14899,Chromosome,correct name,Yes,49,78,111,99.36,1.93,0.0,6807,0,70.80007933514041,7714110
194,GCF_000716875.1,Streptomyces novaecaesareae,1,NRRL B-1267,Contig,correct name,Yes,145,18,32,99.47,0.79,0.0,6599,0,72.98077690703263,7427993
194,GCF_000717725.1,Streptomyces pyridomyceticus,1,NRRL ISP-5024,Contig,no record in LPSN entry,No,145,18,32,99.47,0.53,0.0,5606,0,72.92522243817906,6312990
195,GCF_000721235.1,Streptomyces olivaceus,1,NRRL B-3009,Contig,correct name,Yes,146,137,183,99.57,0.07,0.0,7588,0,72.41546052416992,8584392
202,GCF_000367365.1,Streptomyces prunicolor,1,NBRC 13075,Contig,correct name,Yes,147,138,184,99.57,1.43,0.0,10836,0,69.73288633986101,11760649
204,GCF_000384175.1,Streptomyces purpureus,2,KA281,Scaffold,correct name,No,72,98,135,99.93,0.29,0.0,6818,0,71.50009640222602,7458334
206,GCF_001514265.1,Streptomyces resistomycificus,1,DSM 40133,Scaffold,correct name,Yes,149,19,33,100.0,1.16,0.0,8177,0,70.94166661673785,9179735
206,GCF_001270505.1,Streptomyces resistomycificus,1,NRRL 2290,Contig,correct name,Yes,149,19,33,100.0,1.16,0.0,8283,0,71.02790497298409,9182736
206,GCF_000716215.1,Streptomyces resistomycificus,1,NRRL ISP-5133,Scaffold,correct name,Yes,149,19,33,94.07,0.86,0.0,9124,0,68.15289956292096,9462133
220,GCF_000718095.1,Streptomyces scopuliridis,1,NRRL B-24574,Contig,correct name,Yes,50,80,114,99.75,0.0,0.0,7158,0,70.38786923030266,8243500
220,GCF_003073355.1,Streptomyces scopuliridis,1,RB72,Contig,correct name,No,50,80,114,99.75,0.47,50.0,7007,0,70.44654093436738,7939832
226,GCF_000719255.1,Streptomyces varsoviensis,1,NRRL B-3589,Contig,correct name,Yes,154,21,36,99.11,3.56,0.0,7324,0,72.39569135552111,8595093
226,GCF_000718635.1,Streptomyces varsoviensis,1,NRRL ISP-5346,Contig,correct name,Yes,154,21,36,99.38,3.74,14.29,7314,0,72.39832027893979,8588807
227,GCF_000830005.1,Streptomyces vietnamensis,7,GIM4.0001,Complete Genome,correct name,No,155,139,185,99.84,2.74,12.5,8249,0,71.99364808646747,9153777
230,GCF_000380165.1,Streptomyces vitaminophilus,1,DSM 41686,Scaffold,synonym,Yes,158,22,37,100.0,0.88,0.0,5511,0,72.03496733301846,6429887
230,GCF_001445835.1,Streptomyces vitaminophilus,1,ATCC 31673,Contig,synonym,Yes,158,22,37,100.0,0.88,0.0,5550,0,72.01069282599256,6549812
231,GCF_001270515.1,Streptomyces viridochromogenes,1,NRRL 3427,Contig,correct name,No,159,23,38,99.84,1.27,12.5,8440,0,72.06079851138708,9393980
